Product,Company
APROVEL 150,Sanofi-Aventis
APROVEL 300,Sanofi-Aventis
APSICO,Megalabs Argentina
AQUACEL AG FOAM NO ADHESIVO 10X10 CM,Convatec
AQUACEL AG SURGICAL 9X10 APOSITO ESTERIL,Convatec
AQUACEL AG SURGICAL 9X15 APOSITO ESTERIL,Convatec
AQUACEL AG SURGICAL 9X25 APOSITO ESTERIL,Convatec
AQUACEL AG SURGICAL 9X5 APOSITO ESTERIL,Convatec
AQUACEL AG+EXTRA 10X10 ANTIBIOFILM,Convatec
AQUACEL AG+EXTRA 15X15 ANTIBIOFILM,Convatec
AQUACEL AG+EXTRA 20X30 ANTIBIOFILM,Convatec
AQUACEL AG+EXTRA MECHA 2X45 CM ANTIBIOFILM,Convatec
AQUACEL EXTRA 10X10 CM DOBLE HIDROFIBRA,Convatec
AQUACEL EXTRA 15X15 CM DOBLE HIDROFIBRA,Convatec
AQUACEL FOAM ADHESIVO 10X10 CM,Convatec
AQUACEL FOAM ADHESIVO 12.5X12.5 CM ESPUMA,Convatec
AQUACEL FOAM NO ADHESIVO 10X10 CM,Convatec
AQUACEL FOAM NO ADHESIVO 15X15 CM,Convatec
AQUACEL FOAM PRO 10X10 CM 5 CAPAS,Convatec
AQUACEL FOAM PRO SACRAL 20X16.9 CM 5 CAPAS,Convatec
AQUACEL FOAM PRO TALON MULTI 19.8X14 CM,Convatec
AQUALANE,Laboratorios Farmacoop
AQUATOP,Megalabs Argentina
AQUIPTA,Abbvie
ARAMIX,Elea
ARANDANO + VITAMINA C,Lafarmen
ARANDANO AZUL,Provefarma
ARANDANO LAFARMEN,Lafarmen
ARANDANO ROJO URO,Provefarma
ARANDANO URY VITAMIN WAY,Pharmamerican S.R.L.
ARANDANO+CENTELLA VITAL A.M.,A.M. Farma Activ
ARANDANO+SPIRULINA VITAL A.M.,A.M. Farma Activ
ARANDANOS,Innovapharma
ARAPENTIN,Ariston
ARATOPIC,Lafedar
ARCELIGASOL,E. J. Gezzi
ARCELIGASOL REDUCTORA,E. J. Gezzi
ARCOXIA,Organon Arg.
ARECAMIN,Northia
ARENDAL,Teva Argentina
AREXVY,GlaxoSmithKline Biopharma
ARGEFLOX,Siegfried
ARGININA,Provefarma
ARGININA NUTRICEUTIC,Eurolab
ARGIRELINE,Sempre Giovane
ARGOCIAN,Biol
ARIA,Jayor
ARIA GLUCÓMETRO KIT,Jayor
ARIFLENAC FORTE,Ariston
ARIGASTRIL 30,Ariston
ARIGASTRIL 60,Ariston
ARILD,Eczane
ARIMIDEX,AstraZeneca
ARINOVA,Celnova Argentina
ARIPIPRAZOL 10 VANNIER,Vannier
ARIPIPRAZOL 15 VANNIER,Vannier
ARIPIPRAZOL 20 VANNIER,Vannier
ARIPIPRAZOL 5 VANNIER,Vannier
ARISDAR,Ariston
ARISTALOE,Neo-Dermos
ARIXTRA,Aspen Pharma
ARIZIC,Adium
ARKUS,Gador
ARLEMIDE,Rontag
ARLEVERT,Celnova Argentina
ARLYT CLEAN,Poen
ARLYT CLEAN RGP,Poen
ARLYT EXPRESS,Poen
ARLYT FILL,Poen
ARLYT FRESH,Poen
ARLYT KLINNER,Poen
ARLYT LUBRICANTE,Poen
ARLYT PREMIUM,Poen
ARLYT RGP,Poen
ARLYT SOLUCION SALINA,Poen
ARMIXA,Richmond
ARMONIL NOCHE,Elea
ARMONIL NOCHE LIBERACION PROLONGADA,Elea
ARMONIL SEDANTE,Elea
ARNICA CBD OIL,Dr. Madaus
ARNICA GASANA,Gasana
ARNICA GEL,Dr. Madaus
ARNICA GEL LAURIA,Laboratorio Merlino
ARNICA OIL,Dr. Madaus
ARNICA ROLLON,Dr. Madaus
ARNOL 720-T,Cetus
AROLTEX,Megalabs Argentina
AROMASIN,Pfizer
AROPAX,GlaxoSmithKline Biopharma
AROTRAN,Ariston
ARQUIMES,Microsules Arg.
ARRIBA,Natufarma
ARRIVE 10,Microsules Arg.
ARRIVE 5,Microsules Arg.
ARTELAC,Bausch & Lomb Arg.
ARTELAC COMPLETE MULTIDOSIS,Bausch & Lomb Arg.
ARTELAC COMPLETE SPRAY,Bausch & Lomb Arg.
ARTELAC LIPIDS,Bausch & Lomb Arg.
ARTELAC REBALANCE,Bausch & Lomb Arg.
ARTELAC SPLASH MULTIDOSIS,Bausch & Lomb Arg.
ARTERIOSAN,Laboratorios Bernabó
ARTERIOSAN COMPUESTO,Laboratorios Bernabó
ARTERIOSAN PLUS,Laboratorios Bernabó
ARTFLEX,Teva Argentina
ARTHRODONT,Pierre Fabre Oral Care
ARTINOVO,Bagó
ARTOMEY,Teva Argentina
ARTOMEY DUO 10/10,Teva Argentina
ARTOMEY DUO 20/10,Teva Argentina
ARTOMEY DUO 5/10,Teva Argentina
ARTOMEY PLUS 10/10,Teva Argentina
ARTOMEY PLUS 20/10,Teva Argentina
ARTOMEY PLUS 5/10,Teva Argentina
ARTRAIT,Trb-Pharma
ARTRAIT SC,Trb-Pharma
ARTREX RETARD,Ariston
ARTRICARE,Elea
ARTRIMAX,PGN
ARTRO RED,Siegfried
ARTROACTIVE,Eurolab
ARTRODAR,Trb-Pharma
ARTRODAR GLUCO,Trb-Pharma
ARTROSIL,Trb-Pharma
ARTROSIL CBD,Trb-Pharma
ARTROSTOP ARNICA,Formulab
ARTROSTOP CALAMBRES,Formulab
ARTROSTOP CALAMBRES SIN AZUCAR,Formulab
ARTROSTOP CODOS RODILLAS Y TALONES,Formulab
ARTROSTOP COLAGENO,Formulab
ARTROSTOP DEFENSE SIN AZÚCAR,Formulab
ARTROSTOP ENERGY,Formulab
ARTROSTOP FORTE CALIENTE,Excelentia
ARTROSTOP GEL NUEVO,Excelentia
ARTROSTOP GEL ROLL-ON,Excelentia
ARTROSTOP MANOS,Excelentia
ARTROSTOP MEMORY,Formulab
ARTROSTOP SUPER ALOE,Formulab
ARTROSTOP T CALIENTE,Excelentia
ARVAC,Cassará
ARVO,Elea
ARZIMOL,Lazar
ARZIMOL B,Lazar
ARZOMICIN,Lafedar
ARÁNDANOS NATULIV,Laboratorio ENA
ASEPLUS ALCOHOL EN GEL,Laboratorio Merlino
ASEPLUS INCOLORO,Laboratorio Merlino
ASEPLUS IODOPOVIDONA,Laboratorio Merlino
ASEPLUS JABON ANTIBACTERIAL,Laboratorio Merlino
ASEPLUS SOLUCIÓN SANITIZANTE,Laboratorio Merlino
ASEPTOBRON,Temis-Lostaló
ASEPTOBRON ANTIGRIPAL FORTE,Temis-Lostaló
ASEPTOBRON C PLUS,Temis-Lostaló
ASEPTOBRON INHALACIONES,Temis-Lostaló
ASEPXIA,Genomma Lab.
ASEPXIA ADAPALENO,Genomma Lab.
ASEPXIA CARBON,Genomma Lab.
ASEPXIA MAQUILLAJE,Genomma Lab.
ASERTRAL,Roemmers
ASKINA BARRIER FILM,B. Braun
ASMABRON,Denver Farma
ASMAVITAN,Montpellier
ASOLMICINA.DOX,Megalabs Argentina
ASOTERON,Adium
ASOTREX,Adium
ASOTREX GL,Adium
ASPIRINA 100 VENT-3,Vent 3
ASPIRINA 500 VENT-3,Vent 3
ASPIRINA CARDIO VENT-3,Vent 3
ASPIRINA ECZANE,Eczane
ASPIRINA PREVENT,Bayer (PH)
ASPIRINETAS,Bayer Consumer
ASTAXANTINA,Innovapharma
ASTENDE,Lazar
ASTRILUGE,Valuge
ASTRODIL,Teva Argentina
ASTROGLIDE,Combe
ASTROGLIDE GEL,Combe
ASULBLAN,Fada Pharma
ASUMLEA,Elea
AT III KEDRION 1000 U.I.,Biofactor
AT III KEDRION 500 U.I.,Biofactor
ATACAND,Biopas Argentina
ATACAND D,Biopas Argentina
ATARAXONE,Lazar
ATARVA,Duncan
ATEL,Siegfried
ATELSTA,Ronnet
ATEMPERATOR,Teva Argentina
ATENIX,Adium
ATENOBLOCK,Klonal
ATENOLOL ECZANE,Eczane
ATENOLOL GADOR,Gador
ATENOLOL MICROSULES,Microsules Arg.
ATENOLOL VANNIER,Vannier
ATENOLOL VENT-3,Vent 3
ATENTTO,Roemmers
ATEROCLAR,Beta
ATEROCLAR COMBI,Beta
ATERONOVA,Beta
ATEXA,Finadiet
ATHOS,Roemmers
ATIBAX,Fabop
ATIBAX,Savant Generic
ATIGLAUC,Biosintex
ATIPINA 100,Megalabs Argentina
ATIPINA 200,Megalabs Argentina
ATIPINA 25,Megalabs Argentina
ATLACNE,Lab Internacional Argentino
ATLANSIL,Roemmers
ATOMO ACEITE CBD,Laboratorio Millet
ATOMO ACEITE VERDE,Laboratorio Millet
ATOMO ARNICA GEL,Laboratorio Millet
ATOMO ARNICA POTE,Laboratorio Millet
ATOMO ARNICA ROLL-ON,Laboratorio Millet
ATOMO CANNABIDIOL CBD,Laboratorio Millet
ATOMO CLASICO MONODOSIS,Laboratorio Millet
ATOMO DESINFLAMANTE AEROSOL,Laboratorio Millet
ATOMO DESINFLAMANTE CLASICO,Laboratorio Millet
ATOMO DESINFLAMANTE FORTE,Laboratorio Millet
ATOMO DESINFLAMANTE FRIO,Laboratorio Millet
ATOMO DESINFLAMANTE GELDIC FORTE,Laboratorio Millet
ATOMO DESINFLAMANTE GELDIC V.L.SIN OLOR,Laboratorio Millet
ATOPHEN BAUME,Cepage
ATOPHEN FLUIDE,Cepage
ATOPHEN LEVRES,Cepage
ATOPHEN LN,Cepage
ATOPHEN RICHE,Cepage
ATOPHEN SENSITIVE,Cepage
ATOPIX,Cassará
ATOPIX 50,Cassará
ATOPIX CREMA,Cassará
ATOPIX EMULSION,Cassará
ATOPIX ESPUMA DE LIMPIEZA,Cassará
ATOPIX L,Cassará
ATOPIX PASTA,Cassará
ATOPIX UNGUENTO,Cassará
ATORMAX 10,Géminis Farmacéutica
ATORMAX 20,Géminis Farmacéutica
ATORMAX 40,Géminis Farmacéutica
ATORVASTAN,Biotenk
ATORVASTATIN RICHET,Richet
ATORVASTATINA,ISA
ATORVASTATINA FABRA,Fabra
ATRACURIO,Gray
ATRACURIUM GEMEPE,Gemepe
ATRACURIUM GOBBI,Gobbi
ATRACURIUM NORTHIA,Northia
ATRIMON,MR Pharma
ATROVENT,Boehringer Ingelheim
ATROVENT HFA,Boehringer Ingelheim
ATTENUAT CLA,Lafedar
ATUREN,Gador
AUBAGIO,Sanofi-Aventis
AUCIC 0.5%,Poen
AUCIC 1%,Poen
AUCIC 1% LC,Poen
AUCIC 1.5%,Poen
AUCIC CAPS,Poen
AUCIC PLUS,Poen
AUCIC PLUS LC,Poen
AUDAX,Elea
AUDAX NOVO,Elea
AUDECOL,Ariston
AUDIPAX 16,Baliarda
AUDIPAX MULTIDOSIS,Baliarda
AULO GELIO REPELENTE,Laboratorios Felipe Bajer
AUREA,Monserrat
AUREA AQUA,Monserrat
AUREA CHAMPU INTIMO DEMULCENTE,Monserrat
AURENE,Teva Argentina
AUROBRAL,Rontag
AUTRAXIL,Sidus
AUTUMS,Olbia Pharma
AVAMIDE,Beta
AVAMIDE MET,Beta
AVANCEL,PharmaDorf
AVASTIN,Roche
AVAXIM,Sanofi Health Argentina S.A.
AVAXIM 80 U PEDIATRICO,Sanofi Health Argentina S.A.
AVELLE APOSITO DE HIDROFIBRA 12X21 CM,Convatec
AVELLE APOSITO DE HIDROFIBRA 12X31 CM,Convatec
AVELLE APOSITO DE HIDROFIBRA 12X41 CM,Convatec
AVELLE APOSITO DE HIDROFIBRA 16X16 CM,Convatec
AVELLE APOSITO DE HIDROFIBRA 16X21 CM,Convatec
AVELLE APOSITO DE HIDROFIBRA 26X26 CM,Convatec
AVELLE BOMBA PRESION NEGATIVA PORTATIL,Convatec
AVELOX,Bayer (PH)
AVENA EMULSION,Sempre Giovane
AVENA SHAMPOO,Sempre Giovane
AVITREX VITAMINA D3,Eczane
AVIXIS,Galderma
AVODART,GlaxoSmithKline Biopharma
AVONEX PEN,Biogen
AVSOLA,Amgen
AXEPIN,Baliarda
AXILAN,Oxapharma
AXILAN FORTE,Oxapharma
AXILEP,Lepetit
AXIN,Baliarda
AXIOMAT,Beta
AXITIM,IMA
AXNE 0.1%,Cassará
AXNE 0.3%,Cassará
AXOKINE,Rontag
AXUAL,Teva Argentina
AYSEL ACONDICIONADOR,Eczane
AYSEL SHAMPOO,Eczane
AYURSTATE,Argenfarma
AZAMEX,Kemex
AZANIR,Aspen
AZANOVA,Celnova Argentina
AZAREX FIBRA ADELGA,Francelab
AZARGA,Novartis
AZATEVA,Teva Argentina
AZATIOPRINA RAFFO,Adium
AZATIOPRINA RONTAG,Rontag
AZECAR,Bagó
AZIATOP,Elea
AZIATOP ADVANCE,Elea
AZIATOP REFLUX,Elea
AZIBIOTIC 500,Baliarda
AZIDAC ENDO,Eurolab
AZIDAC FEM,Eurolab
AZIDAC PLUS DHA,Eurolab
AZIDAC Q10,Eurolab
AZILECT,Teva Argentina
AZIMICINA,Lafedar
AZITECH,Laboratorio Valar
AZITROGAL,Sant Gall
AZITROLABSA 200,Labsa
AZITROLABSA 500,Labsa
AZITROMICINA 500,Vent 3
AZITROMICINA PHARMAVIAL,IBC
AZITROMICINA RICHET,Richet
AZITRONA KLONAL,Klonal
AZITROPLOS,Novoplos
AZITROX,Austral
AZOPANIM,IMA
AZOPT,Novartis
AZTREONAM (L-ARGININA),Richet
AZTREONAM PHARMAVIAL,IBC
AZUCENA,Laboratorios Bernabó
AZZA,IMA
B-50 COMPLEX,Natural Life
B-CAVIR,Lafedar
B-JEN,Lafedar
BABY FACT B,Gemepe
BACFURON,Laboratorios Bernabó
BACLOFENO CEVALLOS,Laboratorios Frasca
BACLOX,Ariston
BACTICEL,Bagó
BACTICORT,Montpellier
BACTICORT COMPLEX,Montpellier
BACTIFREN 500,Montpellier
BACTIFREN 750,Montpellier
BACTISONA CREMA,L.D.A.
BACTOCILINA,Lazar
BACTRIM,Siegfried
BACTRIM FORTE,Siegfried
BAGO B1 B6 B12,Bagó
BAGO B1 B6 B12 DETOX,Bagó
BAGO B6 B12 FOLICO,Bagó
BAGO+ACTIVAMENTE,Bagó
BAGO+CALMA,Bagó
BAGO+DESCANSO,Bagó
BAGO+ENERGIA,Bagó
BAGOHEPAT,Bagó
BAGOHEPAT RAPIDA ACCION,Bagó
BAGOTAZ,Bagó
BAGOVIT A PLUS,Bagó
BAGOVIT AE,Bagó
BALIARTRIN,Baliarda
BALIARTRIN DUO,Baliarda
BALIARTRIN POTASICO,Baliarda
BALIGLUC 500,Baliarda
BALIGLUC AP 1000,Baliarda
BALIGLUC AP 500,Baliarda
BALIGLUC AP 850,Baliarda
BALIMUC,Baliarda
BALIVENT NASAL,Baliarda
BALSAMO AVENA + KERATINA,Dr. Madaus
BALSAMO DE MASAJE PARA ESTRIAS,Weleda
BALSAMO LABIAL MANTECA DE KARITE,Gasana
BALSAMO MAX UREA,Sempre Giovane
BALSAMO ORTIGA + ROMERO,Dr. Madaus
BALTIC,Casasco
BALVERSA,Janssen-Cilag
BANOCLUS GEL,Austral
BANTUC,Baliarda
BANTUC MAX,Baliarda
BAREX 70,Domínguez
BAREX KIT,Domínguez
BAREX PLUS,Domínguez
BAREX S,Domínguez
BAREX SABORIZADO,Domínguez
BAREX UNIPEG,Domínguez
BARIO DIF CITRATADO,Temis-Lostaló
BARRERA CERAPLUS CONVEXA 44 MM,Hollister
BARRERA CERAPLUS CONVEXA 57 MM,Hollister
BARRERA CERAPLUS CONVEXA 70 MM,Hollister
BARRERA CERAPLUS PLANA 44 MM,Hollister
BARRERA CERAPLUS PLANA 57 MM,Hollister
BARRERA CERAPLUS PLANA 70 MM,Hollister
BARRERA LITTLE ONES PEDIATRICA RECORT 32 MM,Convatec
BARRERA LITTLE ONES PEDIATRICA RECORT 45 MM,Convatec
BARRERA MOLDEABLE PL NATURA 13-22 MM ARO 45,Convatec
BARRERA MOLDEABLE PL NATURA 22-33 MM ARO 45,Convatec
BARRERA MOLDEABLE PL NATURA 33-45 MM ARO 57,Convatec
BARRERA MOLDEABLE PL NATURA 45-56 MM ARO 70,Convatec
BARRERA NATURA CONVEX MOLDEABLE 13-22 ARO 45,Convatec
BARRERA NATURA CONVEX MOLDEABLE 22-33 ARO 46,Convatec
BARRERA NATURA CONVEX MOLDEABLE 33-45 ARO 57,Convatec
BARRERA NATURA CONVEX PRECOR 22 MM ARO 45 MM,Convatec
BARRERA NATURA CONVEX PRECOR 25 MM ARO 45 MM,Convatec
BARRERA NATURA CONVEX PRECOR 28 MM ARO 45 MM,Convatec
BARRERA NATURA CONVEX PRECOR 32 MM ARO 45 MM,Convatec
BARRERA NATURA CONVEX PRECOR 35 MM ARO 45 MM,Convatec
BARRERA NATURA CONVEX PRECOR 38 MM ARO 57 MM,Convatec
BARRERA NATURA FLEXIBLE RECORT ARO 45,Convatec
BARRERA NATURA FLEXIBLE RECORT ARO 57,Convatec
BARRERA NATURA FLEXIBLE RECORT. ARO 38,Convatec
BARRERA NATURA FLEXIBLE RECORT. ARO 70,Convatec
BARRERA NATURA RIGIDA RECORT ARO 100 MM 2 PZ,Convatec
BARRERA NATURA RIGIDA RECORT ARO 38 MM 2 PZ,Convatec
BARRERA NATURA RIGIDA RECORT ARO 45 MM 2 PZ,Convatec
BARRERA NATURA RIGIDA RECORT ARO 57 MM 2 PZ,Convatec
BARRERA NATURA RIGIDA RECORT ARO 70 MM 2 PZ,Convatec
BARRERA NEW IMAGE CONVEXA 44 MM,Hollister
BARRERA NEW IMAGE CONVEXA 57 MM,Hollister
BARRERA NEW IMAGE CONVEXA 70 MM,Hollister
BARRERA NEW IMAGE PLANA 102 MM,Hollister
BARRERA NEW IMAGE PLANA 44 MM,Hollister
BARRERA NEW IMAGE PLANA 57 MM,Hollister
BARRERA NEW IMAGE PLANA 70 MM,Hollister
BARRERA PEDIAT. POUCHKINS 32 MM,Hollister
BASALOG,Varifarma
BASEBEL,Fortbenton
BAVENCIO,Merck Serono
BAYASPIRINA,Bayer Consumer
BAYASPIRINA C CALIENTE,Bayer Consumer
BAYASPIRINA C LIMON 240 MG VIT.C,Bayer Consumer
BAYASPIRINA FORTE,Bayer Consumer
BAZAM,Lafedar
BCAA 2:1:1,Laboratorio ENA
BCAA 2:1:1,Pharmamerican S.R.L.
BCG CULTIVO AJV,Teva Argentina
BE+WOMAN COLLAGEN,Novarum Pharma
BE+WOMAN SKIN YOUNG COLLAGEN,Novarum Pharma
BEAPLEN 10,Temis-Lostaló
BEAPLEN 20,Temis-Lostaló
BEAUTY FIT,Pharma Alioth
BECEBUEN,Monserrat
BECEBUEN COMPUESTO,Monserrat
BECEDE 0.5,Vannier
BECEDE 1,Vannier
BECEDE 2,Vannier
BECIADIC,Denver Farma
BECOZYM,Bayer Consumer
BECOZYM NF,Bayer Consumer
BEFOL,Biotenk
BEFOL AP RETARD,Biotenk
BEFOL B12 FORTE,Biotenk
BEFOL FLEX,Biotenk
BEFOL PLUS,Biotenk
BEFOL VL,Biotenk
BEGAN 12,Géminis Farmacéutica
BEKEMV,Amgen
BELBARMICINA INL,Química Luar
BELEG,Savant Generic
BELEODAQ,Pint Pharma
BELLASHAKE,Lando
BELMALEN,Cetus
BELMALEN PLUS,Cetus
BELOZOK,AstraZeneca
BEMICIN,Northia
BEMPENAL,Adium
BEMPEZET,Adium
BEMPLAS,Casasco
BEMUX,Richmond
BENADRYL,Elea
BENADRYL 24,Elea
BENADRYL 24 FLASH,Elea
BENADRYL ANTITUSIVO,Elea
BENADRYL DM COMPUESTO,Elea
BENAPROST,Bagó
BENDAM,LKM
BENDAVAR,Varifarma
BENDEL,Kemex
BENEFIX,Pfizer
BENELTA FLEX,Framingham Pharma
BENGUE DESINFLAMANTE,Genomma Lab.
BENGUE SIN OLOR,Genomma Lab.
BENGUE SIN OLOR 12 HS,Genomma Lab.
BENGUE ULTRA,Genomma Lab.
BENISAN,Fabra
BENJOR,Elea
BENLIPID,Gador
BENLYSTA,GlaxoSmithKline Biopharma
BENSULF,Fada Pharma
BENZIHEX AC,Galderma
BENZIMIR,Bioprofarma Bagó
BEPANTHEN BABY,Bayer Consumer
BEPANTHOL REGENERADORA CREA TUF 30G AR,Bayer Consumer
BEPANTHOL UNGÜENTO,Bayer Consumer
BERIATE P,CSL Behring
BERINERT P,CSL Behring
BERINERT SC 2000,CSL Behring
BERIPLAST P COMBI SET,CSL Behring
BERIPLEX P/N,CSL Behring
BERLEX,Duncan
BERLOFEN,Elea
BERNAFOLIC 1,Laboratorios Bernabó
BERNAFOLIC 5,Laboratorios Bernabó
BEROCCA PERFORMANCE,Bayer Consumer
BEROCCA PLUS,Bayer Consumer
BERODUAL HFA,Boehringer Ingelheim
BEROTEC HFA,Boehringer Ingelheim
BERTEL 40 MG,Elea
BERTEL 80 MG,Elea
BERTEL D 40/12.5 MG,Elea
BERTEL D 80/12.5 MG,Elea
BESPONSA,Pfizer
BESTROL,Cetus
BESUBIAL,Biosintex Retail
BETA ALANINE,Laboratorio ENA
BETA-CAROTENO VITAL,A.M. Farma Activ
BETABRONZE LAFARMEN,Lafarmen
BETACAROTENO,Provefarma
BETACAROTENO + E + B2,Lafarmen
BETACAROTENO LAFARMEN,Lafarmen
BETACAROTENO NATULIV,Laboratorio ENA
BETACORT,Medisol
BETACORT CASSARA,Cassará
BETACORT CASSARA,Medisol
BETACORT INY CASSARA + JERINGA,Cassará
BETACORT PLUS,Medisol
BETACORT PLUS CASSARA,Cassará
BETAFERON,Bayer (PH)
BETAHISTINA RICHET,Richet
BETAMAT,Lafedar
BETAMAT RETARD,Lafedar
BETASALIC,Andrómaco
BETASERC,Abbott EPD
BETASONE 12 HORAS,Klonal
BETASONE G,Klonal
BETASONE G RETARD,Klonal
BETASONE-G COMPUESTO,Klonal
BETASONE-G FL,Klonal
BETAVALMAX,Valmax
BETINA,Eurofarma
BETNOVATE,GlaxoSmithKline Biopharma
BETNOVATE CAPILAR,GlaxoSmithKline Biopharma
BETNOVATE N,GlaxoSmithKline Biopharma
BETRIOL,Andrómaco
BETRIOL B,Andrómaco
BEVAX,Elea
BEXABAN,Gador
BEXSERO,GlaxoSmithKline Biopharma
BEYFORTUS,Sanofi Health Argentina S.A.
BEZACUR,Siegfried
BEZALIP RETARD,Teva Argentina
BI1 ALISENOC VAINILLA,Infinity Pharma
BI1 DIACARE HPHC VAINILLA,Infinity Pharma
BI1 DIACARE VAINILLA,Infinity Pharma
BI1 ESPESANTE,Infinity Pharma
BI1 GLUTAMIN,Infinity Pharma
BI1 HP FIBRA CAPUCCINO,Infinity Pharma
BI1 HP FIBRA VAINILLA,Infinity Pharma
BI1 HPHC FRESA,Infinity Pharma
BI1 HPHC VAINILLA,Infinity Pharma
BI1 PEPTIDIC VAINILLA,Infinity Pharma
BI1 PLUS FRESA,Infinity Pharma
BI1 PLUS VAINILLA,Infinity Pharma
BI1 PROTEIN,Infinity Pharma
BI1 VIA DIACARE,Infinity Pharma
BI1 VIA DIACARE HPHC,Infinity Pharma
BI1 VIA FIBRA STANDARD,Infinity Pharma
BI1 VIA HPHC FIBRA,Infinity Pharma
BI1 VIA PROCARE,Infinity Pharma
BIALKO,Bioprofarma Bagó
BIANCA,Sempre Giovane
BIASCOR,Biol
BIATAIN ADHESIVO,Coloplast
BIATAIN AG ADHESIVO,Coloplast
BIATAIN AG NO ADHESIVO,Coloplast
BIATAIN ALGINATE,Coloplast
BIATAIN ALGINATE AG,Coloplast
BIATAIN IBU,Coloplast
BIATAIN NO ADHESIVO,Coloplast
BIATAIN SILICONE,Coloplast
BIATAIN SILICONE MULTIFORMA,Coloplast
BIATAIN SILICONE SACRO,Coloplast
BIATAIN SILICONE TALON,Coloplast
BIATRIX 100,Baliarda
BIATRIX 200,Baliarda
BIATRIX 25,Baliarda
BIATRIX 300,Baliarda
BIATRIX XR 200,Baliarda
BIATRIX XR 300,Baliarda
BIATRIX XR 400,Baliarda
BIATRIX XR 50,Baliarda
BICALUTAMIDA IMA,IMA
BICALUTAMIDA KEMEX,Kemex
BICALUTAMIDA TECHSPHERE,Techsphere
BICARBONATO DE SODIO EWE,Sanitas
BICARBONATO DE SODIO MOLAR GEMEPE,Gemepe
BICARDIL,Baliarda
BICARDIL A,Baliarda
BICROMIL,Cetus
BIDECAR,Baliarda
BIDECAR CR,Baliarda
BIDECAR D,Baliarda
BIDEON,Fecofar
BIDEON BIOTIC,Fecofar
BIDEON BIOTIC PLUS,Fecofar
BIDEON FREE,Fecofar
BIDEON LAGRIMAS,Fecofar
BIDROSTAT,Bioprofarma Bagó
BIFERDIL BIO COLOR COLORACIÓN 0% AMONÍACO,Biferdil
BIFERDIL BIO COLOR EXPRESS 10 MINUTOS,Biferdil
BIFERDIL COLORACIÓN TONO SOBRE TONO KIT,Biferdil
BIFERDIL CREMAS PARA PEINAR,Biferdil
BIFERDIL LINEA 100% VEGANO,Biferdil
BIFERDIL LINEA 1007 P/FRAGILES,Biferdil
BIFERDIL LINEA ADITIVOS PARA LA COLORACION,Biferdil
BIFERDIL LINEA ALGAS,Biferdil
BIFERDIL LINEA ALISADOS,Biferdil
BIFERDIL LINEA ALOE VERA,Biferdil
BIFERDIL LINEA ALTA PUREZA,Biferdil
BIFERDIL LINEA AMPOLLAS CAPILARES,Biferdil
BIFERDIL LINEA ANTI AMARILLO,Biferdil
BIFERDIL LINEA ANTI-QUIEBRE,Biferdil
BIFERDIL LINEA ANTIOXIDANTE,Biferdil
BIFERDIL LINEA ARGAN,Biferdil
BIFERDIL LINEA BIFERMIX,Biferdil
BIFERDIL LINEA BIO COLOR,Biferdil
BIFERDIL LINEA BIO COLOR 0% AMONIACO,Biferdil
BIFERDIL LINEA BIO-ACTIVADORA C/KARITE,Biferdil
BIFERDIL LINEA BIODEGRADABLE SIST.BRAILLE,Biferdil
BIFERDIL LINEA C/BAMBU SIST.BRAILLE,Biferdil
BIFERDIL LINEA CABELLO GRASO SEBORREICO,Biferdil
BIFERDIL LINEA CABELLO SECO Y CASTIGADO,Biferdil
BIFERDIL LINEA CABELLO TEÑIDO,Biferdil
BIFERDIL LINEA CAFEINA,Biferdil
BIFERDIL LINEA CAIDA Y CASPA,Biferdil
BIFERDIL LINEA CAIDA Y CASPA OCTOPIROX,Biferdil
BIFERDIL LINEA CELULAS MADRES,Biferdil
BIFERDIL LINEA CERAMIDAS,Biferdil
BIFERDIL LINEA CERVEZA Y MIEL,Biferdil
BIFERDIL LINEA CHAMPU PH ACIDO,Biferdil
BIFERDIL LINEA CHIA,Biferdil
BIFERDIL LINEA CITRICO CAB. GRASOS,Biferdil
BIFERDIL LINEA COLOR TONO S/TONO,Biferdil
BIFERDIL LINEA COLORAC. ULTRAHID. EXT.CLAROS,Biferdil
BIFERDIL LINEA COLORAC. ULTRAHIDRATANTE,Biferdil
BIFERDIL LINEA COLORACION ANTI-AGE,Biferdil
BIFERDIL LINEA COLORACION FORT.MASC.,Biferdil
BIFERDIL LINEA CRISTALES LIQUIDOS,Biferdil
BIFERDIL LINEA CUIDADO Y PROTECCION,Biferdil
BIFERDIL LINEA EFECT.VOL.C/GINKGO BILOBA,Biferdil
BIFERDIL LINEA ESPECIFICA,Biferdil
BIFERDIL LINEA ESTRUCTURANTE,Biferdil
BIFERDIL LINEA FANTASY,Biferdil
BIFERDIL LINEA FORTALECEDORA,Biferdil
BIFERDIL LINEA HIDRATACION INTENSA,Biferdil
BIFERDIL LINEA HIDRATANTE,Biferdil
BIFERDIL LINEA HIDRATANTE RULOS,Biferdil
BIFERDIL LINEA HIPOALERGENICA,Biferdil
BIFERDIL LINEA JENGIBRE,Biferdil
BIFERDIL LINEA JOJOBA,Biferdil
BIFERDIL LINEA LAVADO RAPIDO SIN AGUA,Biferdil
BIFERDIL LINEA LIBRE DE GLUTEN,Biferdil
BIFERDIL LINEA MATIZADORES,Biferdil
BIFERDIL LINEA MORINGA Y KERATINA,Biferdil
